name,email,password
Remi,remi@outlook.com,123456
Laura,laura@outlook.com,124690
Nicolas,nicolas@outlook.com,124692
Jean,jean@outlook.com,124694
Pierre,pierre@outlook.com,124696
Paul,paul@outlook.com,124698
Matthieu,matthieu@outlook.com,124700
Jack,jack@outlook.com,124702
Eric,eric@outlook.com,124704
Lea,lea@outlook.com,124706
Remi,remi@outlook.fr,124708
Laura,laura@outlook.fr,124710
Nicolas,nicolas@outlook.fr,124712
Jean,jean@outlook.fr,124714
Pierre,pierre@outlook.fr,124716
Paul,paul@outlook.fr,124718
Matthieu,matthieu@outlook.fr,124720
Jack,jack@outlook.fr,124722
Eric,eric@outlook.fr,124724
Lea,lea@outlook.fr,124726
